"name","street","street2","zip","city","country:id","phone","email","bic"
"Мубарекский филиал Агробанка","Кашкадарьинская область, Мубарекский район, г. Мубарек, ул. Занжирсарай, 22/4",,,"Кашкадарьинская область","base.uz",,,"00187"
"Кашкадарьинский областной филиал Ипотека банка","180100, Кашкадарьинская область, г. Карши, ул. Мустакиллик, 49",,,"Кашкадарьинская область","base.uz",,,"00190"
"Шахрисабзский филиал Узнацбанка","Кашкадарьинская область, Шахрисабзский район, г. Шахрисабз, ул. Ипак Йули, 100",,,"Кашкадарьинская область","base.uz",,,"00191"
"Каршинский филиал Туронбанка","180103, Кашкадарьинская область, г. Карши, ул. Комилон, 28",,,"Кашкадарьинская область","base.uz",,,"00192"
"Кашкадарьинский областной филиал Асака банка","180000, Кашкадарьинская область, г. Карши, ул. Мустакиллик, 32-A",,,"Кашкадарьинская область","base.uz",,,"00194"
"Навоийское отделение Узнацбанка","210100, Навоийская область, г. Навои, ул. Ибн Сина, 14",,,"Навоийская область","base.uz",,,"00196"
"Навоийский областной территориальный филиал Агробанка","210100, Навоийская область, г. Навои, ул. Меъморлар, 104",,,"Навоийская область","base.uz",,,"00197"
"Навоийский областной филиал Микрокредитбанка","210100, Навоийская область, г. Навои, ул. А. Навои, 29",,,"Навоийская область","base.uz",,,"00198"
"Навоийский филиал Ипак Йули банка","220100, Навоийская область, г. Навои, ул. Галаба, 206",,,"Навоийская область","base.uz",,,"00199"
"Навоийский филиал Туронбанка","210100, Навоийская область, г. Навои, ул. Низомий, 28",,,"Навоийская область","base.uz",,,"00200"
"Навоийский областной филиал Савдогар банка","210109, Навоийская область, г. Навои, ул. Меъморлар, 83",,,"Навоийская область","base.uz",,,"00201"
"Навоийский региональный филиал Кишлок курилиш банка","210100, Навоийская область, г. Навои, проспект Галаба, 149-A",,,"Навоийская область","base.uz",,,"00202"
"Зарафшанский филиал Ипотека банка","Навоийская область, г. Зарафшан, ул. Бахор, 2-й микрорайон",,,"Навоийская область","base.uz",,,"00203"
"Зарафшанский филиал Узнацбанка","Навоийская область, г. Зарафшан, ул. Амира Темура, 43/7",,,"Навоийская область","base.uz",,,"00204"
"Навоийский филиал Ипотека банка","210100, Навоийская область, г. Навои, ул. Меъморлар, 104а",,,"Навоийская область","base.uz",,,"00205"
"Навоийский областной филиал Асака банка","210100, Навоийская область, г. Навои, ул. Амира Темура, 2-A",,,"Навоийская область","base.uz",,,"00206"
"Навоийский региональный филиал Узпромстройбанка","210100, Навоийская область, г. Навои, ул. Меъморлар, 7",,,"Навоийская область","base.uz",,,"00207"
"Канимехский филиал Агробанка","210500, Навоийская область, Канимехский район, гп Канимех, ул. Абая, 14",,,"Навоийская область","base.uz",,,"00209"
"Карманинский филиал Агробанка","210600, Навоийская область, Карманинский район, гп Кармана, Янгиарык КФЙ",,,"Навоийская область","base.uz",,,"00210"
"Карманинский филиал Микрокредитбанка","210609, Навоийская область, Карманинский район, гп Кармана, ул. Кармана, 28",,,"Навоийская область","base.uz",,,"00211"
"Кызылтепинский филиал Агробанка","210400, Навоийская область, Кызылтепинский район, г. Кызылтепа, ул. Узбекистанская, 5",,,"Навоийская область","base.uz",,,"00212"
"Кызылтепинский филиал Микрокредитбанка","210400, Навоийская область, Кызылтепинский район, г. Кызылтепа, проспект Узбекистанский, 6",,,"Навоийская область","base.uz",,,"00213"
"Нуратинский филиал Агробанка","Навоийская область, Нуратинский район, г. Нурата, ул. Амира Темура, 10",,,"Навоийская область","base.uz",,,"00214"
"Тамдынский филиал Агробанка","210800, Навоийская область, Тамдынский район, гп Томдибулок, ул. Навруз, 15",,,"Навоийская область","base.uz",,,"00216"
"Навбахорский филиал Агробанка","210200, Навоийская область, Навбахорский район, нп Бешрабад, ул. Бобуршох, 10",,,"Навоийская область","base.uz",,,"00217"
"Хатырчинский филиал Агробанка","211000, Навоийская область, Хатырчинский район, г. Янгирабод, ул. Пулканшоир, 19",,,"Навоийская область","base.uz",,,"00219"
"Наманганское отделение Узнацбанка","160127, Наманганская область, г. Наманган, ул. Дустлик, 2",,,"Наманганская область","base.uz",,,"00222"
"Наманганский областной филиал Ипотека банка","160100, Наманганская область, г. Наманган, ул. А. Навои, 63",,,"Наманганская область","base.uz",,,"00223"
"Наманганский региональный филиал Узпромстройбанка","160100, Наманганская область, г. Наманган, проспект Дустлик, 19",,,"Наманганская область","base.uz",,,"00224"
"Наманганский областной территориальный филиал Агробанка","160100, Наманганская область, г. Наманган, ул. Дустлик, 3",,,"Наманганская область","base.uz",,,"00225"
"Наманганский филиал Туронбанка","160133, Наманганская область, г. Наманган, ул. Ахунбабаева, 68",,,"Наманганская область","base.uz",,,"00226"
"Наманганский филиал Савдогар банка","160136, Наманганская область, г. Наманган, ул. Ибрат, 26",,,"Наманганская область","base.uz",,,"00227"
"Наманганский региональный филиал Кишлок курилиш банка","160108, Наманганская область, г. Наманган, ул. А. Навои, 70 a",,,"Наманганская область","base.uz",,,"00229"
"Наманганский областной филиал Асака банка","116008, Наманганская область, г. Наманган, ул. А. Навои, 27",,,"Наманганская область","base.uz",,,"00231"
"Мингбулакский филиал Агробанка","160200, Наманганская область, Мингбулакский район, гп Джумашуй, ул. Ойбека, 2",,,"Наманганская область","base.uz",,,"00232"
"Джумашуйский филиал Микрокредитбанка","160200, Наманганская область, Мингбулакский район, гп Джумашуй, ул. Озодлик, 26",,,"Наманганская область","base.uz",,,"00233"
"Касансайский филиал Агробанка","160300, Наманганская область, Касансайский район, г. Касансай, ул. А. Навои, 122",,,"Наманганская область","base.uz",,,"00234"
"Нарынский филиал Агробанка","160400, Наманганская область, Нарынский район, г. Хаккулабад, ул. Беруний, 8",,,"Наманганская область","base.uz",,,"00236"
"Папский филиал Агробанка","160500, Наманганская область, Папский район, г. Пап, ул. Дустлик, 35",,,"Наманганская область","base.uz",,,"00238"
"Папский филиал Микрокредитбанка","160500, Наманганская область, Папский район, г. Пап, ул. Э. Ёндоша, 15",,,"Наманганская область","base.uz",,,"00239"
"Папский филиал Кишлок курилиш банка","160500, Наманганская область, Папский район, г. Пап, ул. Дустлик, 45",,,"Наманганская область","base.uz",,,"00240"
"Туракурганский филиал Агробанка","160800, Наманганская область, Туракурганский район, г. Туракурган, ул. Ал Фаргоний, 4",,,"Наманганская область","base.uz",,,"00241"
"Уйчинский филиал Агробанка","160900, Наманганская область, Уйчинский район, гп Уйчи, ул. А. Навои, 5",,,"Наманганская область","base.uz",,,"00244"
"Учкурганский филиал Агробанка","160900, Наманганская область, Учкурганский район, г. Учкурган, ул. Дустлик, 28",,,"Наманганская область","base.uz",,,"00246"
"Учкурганский филиал Кишлок курилиш банка","160900, Наманганская область, Учкурганский район, г. Учкурган, ул. 3-тупик Дустлик, 1",,,"Наманганская область","base.uz",,,"00248"
"Чустский филиал Агробанка","161200, Наманганская область, Чустский район, г. Чуст, ул. Суфизода, 12",,,"Наманганская область","base.uz",,,"00249"
"Чустский филиал Микрокредитбанка","161100, Наманганская область, Чустский район, г. Чуст, ул. М. Фаёзова, 4",,,"Наманганская область","base.uz",,,"00250"
"Янгикурганский филиал Агробанка","160600, Наманганская область, Янгикурганский район, гп Янгикурган, ул. Мустакиллик, 1",,,"Наманганская область","base.uz",,,"00251"
"Наманганский филиал Агробанка","160600, Наманганская область, Наманганский район, гп Ташбулак, ул. Мустакиллик, 5",,,"Наманганская область","base.uz",,,"00253"
