"id","code","name","user_type_id:id","reconcile","chart_template_id:id","tag_ids","currency_id:id"
"uz_nsbu_433500","433500","Прочие авансы, выданные поставщикам и подрядчикам (в валюте)","account.data_account_type_receivable","TRUE","l10n_uz_nsbu_chart_template","Operating Activities","base.USD"
"uz_nsbu_441010","441010","НДС по приобретенным основным средствам","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_441020","441020","НДС по приобретенным нематериальным активам","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_441030","441030","НДС по приобретенным материально-производственным запасам","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_441040","441040","НДС по приобретенным услугам","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_441050","441050","НДС, уплаченный при ввозе товаров на территорию Республики Узбекистан","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_441070","441070","НДС по товарам, реализованным по ставке 0% (экспорт)","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_441080","441080","НДС при строительстве основных средств","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_441090","441090","НДС по уменьшению стоимости реализации","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_441100","441100","НДС на импорт усдуг","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_442010","442010","Авансовые платежи по НДФЛ (по оплате труда)","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
"uz_nsbu_442020","442020","Авансовые платежи по НДФЛ (дивидендам и процентам физ. лиц)","account.data_account_type_current_assets","FALSE","l10n_uz_nsbu_chart_template","Operating Activities",
